x	y	rho	u	v	w	A11	A12	A13	A21	A22	A23	A31	A32	A33	omega	curlynorm	rho-rho0detA
-0.27125 	0 	1.00935 	-0.00620418 	-0.0999995 	0	1.00311	-0.000187743	0	0.00018782	1.00311	0	0	0	1.00311	-6.1612e-07	0.000979493	-5.85764e-07

-0.26875 	0 	1.00928 	-0.00612382 	-0.0999995 	0	1.00308	-0.000185209	0	0.000185286	1.00308	0	0	0	1.00308	-4.59836e-07	0.000978991	-5.83974e-07

-0.26625 	0 	1.00921 	-0.00604352 	-0.0999995 	0	1.00306	-0.000182677	0	0.000182754	1.00306	0	0	0	1.00306	-3.26163e-07	0.000979311	-5.82949e-07

-0.26375 	0 	1.00913 	-0.00596324 	-0.0999995 	0	1.00304	-0.000180146	0	0.000180223	1.00304	0	0	0	1.00304	-1.9701e-07	0.000980357	-5.82368e-07

-0.26125 	0 	1.00906 	-0.00588291 	-0.0999995 	0	1.00301	-0.000177614	0	0.000177691	1.00301	0	0	0	1.00301	-9.10003e-08	0.000981995	-5.8205e-07

-0.25875 	0 	1.00899 	-0.00580253 	-0.0999995 	0	1.00299	-0.00017508	0	0.000175157	1.00299	0	0	0	1.00299	-3.48915e-09	0.000983919	-5.81607e-07

-0.25625 	0 	1.00891 	-0.00572206 	-0.0999995 	0	1.00296	-0.000172543	0	0.000172621	1.00296	0	0	0	1.00296	-1.39457e-08	0.000985761	-5.80707e-07

-0.25375 	0 	1.00884 	-0.00564156 	-0.0999995 	0	1.00294	-0.000170004	0	0.000170082	1.00294	0	0	0	1.00294	-2.89502e-07	0.000987326	-5.99769e-07

-0.25125 	0 	1.00877 	-0.00556107 	-0.0999995 	0	1.00291	-0.000167464	0	0.000167542	1.00291	0	0	0	1.00291	-6.69058e-07	0.000988023	-5.85546e-07

-0.24875 	0 	1.00869 	-0.0054807 	-0.0999995 	0	1.00289	-0.000164929	0	0.000165006	1.00289	0	0	0	1.00289	-8.61782e-07	0.000987078	-5.77117e-07

-0.24625 	0 	1.00862 	-0.00540056 	-0.0999995 	0	1.00287	-0.000162401	0	0.000162478	1.00287	0	0	0	1.00286	-1.01735e-06	0.000984648	-5.77025e-07

